,sepal_length,sepal_width,petal_length,petal_width,species
0,5.10,3.50,1.40,0.20,Iris-setosa
1,4.90,3.00,1.40,0.20,Iris-setosa
2,4.70,3.20,1.30,0.20,Iris-setosa
3,4.60,3.10,1.50,0.20,Iris-setosa
4,5.00,3.60,1.40,0.20,Iris-setosa
6,4.60,3.40,1.40,0.30,Iris-setosa
7,5.00,3.40,1.50,0.20,Iris-setosa
8,4.40,2.90,1.40,0.20,Iris-setosa
9,4.90,3.10,1.50,0.10,Iris-setosa
10,5.40,3.70,1.50,0.20,Iris-setosa
11,4.80,3.40,1.60,0.20,Iris-setosa
12,4.80,3.00,1.40,0.10,Iris-setosa
13,4.30,3.00,1.10,0.10,Iris-setosa
14,5.80,4.00,1.20,0.20,Iris-setosa
15,5.70,4.40,1.50,0.40,Iris-setosa
16,5.40,3.90,1.30,0.40,Iris-setosa
17,5.10,3.50,1.40,0.30,Iris-setosa
18,5.70,3.80,1.70,0.30,Iris-setosa
19,5.10,3.80,1.50,0.30,Iris-setosa
20,5.40,3.40,1.70,0.20,Iris-setosa
21,5.10,3.70,1.50,0.40,Iris-setosa
22,4.60,3.60,1.00,0.20,Iris-setosa
23,5.10,3.30,1.70,0.50,Iris-setosa
24,4.80,3.40,1.90,0.20,Iris-setosa
25,5.00,3.00,1.60,0.20,Iris-setosa
26,5.00,3.40,1.60,0.40,Iris-setosa
27,5.20,3.50,1.50,0.20,Iris-setosa
28,5.20,3.40,1.40,0.20,Iris-setosa
29,4.70,3.20,1.60,0.20,Iris-setosa
30,4.80,3.10,1.60,0.20,Iris-setosa
31,5.40,3.40,1.50,0.40,Iris-setosa
32,5.20,4.10,1.50,0.10,Iris-setosa
33,5.50,4.20,1.40,0.20,Iris-setosa
34,4.90,3.10,1.50,0.10,Iris-setosa
35,5.00,3.20,1.20,0.20,Iris-setosa
36,5.50,3.50,1.30,0.20,Iris-setosa
37,4.90,3.10,1.50,0.10,Iris-setosa
38,4.40,3.00,1.30,0.20,Iris-setosa
39,5.10,3.40,1.50,0.20,Iris-setosa
40,5.00,3.50,1.30,0.30,Iris-setosa
41,4.50,2.30,1.30,0.30,Iris-setosa
42,4.40,3.20,1.30,0.20,Iris-setosa
43,5.00,3.50,1.60,0.60,Iris-setosa
44,5.10,3.80,1.90,0.40,Iris-setosa
45,4.80,3.00,1.40,0.30,Iris-setosa
46,5.10,3.80,1.60,0.20,Iris-setosa
47,4.60,3.20,1.40,0.20,Iris-setosa
48,5.30,3.70,1.50,0.20,Iris-setosa
49,5.00,3.30,1.40,0.20,Iris-setosa
50,7.00,3.20,4.70,1.40,Iris-versicolor
51,6.40,3.20,4.50,1.50,Iris-versicolor
52,6.90,3.10,4.90,1.50,Iris-versicolor
53,5.50,2.30,4.00,1.30,Iris-versicolor
54,6.50,2.80,4.60,1.50,Iris-versicolor
55,5.70,2.80,4.50,1.30,Iris-versicolor
56,6.30,3.30,4.70,1.60,Iris-versicolor
58,6.60,2.90,4.60,1.30,Iris-versicolor
59,5.20,2.70,3.90,1.40,Iris-versicolor
60,5.00,2.00,3.50,1.00,Iris-versicolor
61,5.90,3.00,4.20,1.50,Iris-versicolor
62,6.00,2.20,4.00,1.00,Iris-versicolor
63,6.10,2.90,4.70,1.40,Iris-versicolor
64,5.60,2.90,3.60,1.30,Iris-versicolor
65,6.70,3.10,4.40,1.40,Iris-versicolor
66,5.60,3.00,4.50,1.50,Iris-versicolor
67,5.80,2.70,4.10,1.00,Iris-versicolor
68,6.20,2.20,4.50,1.50,Iris-versicolor
69,5.60,2.50,3.90,1.10,Iris-versicolor
70,5.90,3.20,4.80,1.80,Iris-versicolor
71,6.10,2.80,4.00,1.30,Iris-versicolor
72,6.30,2.50,4.90,1.50,Iris-versicolor
73,6.10,2.80,4.70,1.20,Iris-versicolor
74,6.40,2.90,4.30,1.30,Iris-versicolor
75,6.60,3.00,4.40,1.40,Iris-versicolor
76,6.80,2.80,4.80,1.40,Iris-versicolor
77,6.70,3.00,5.00,1.70,Iris-versicolor
78,6.00,2.90,4.50,1.50,Iris-versicolor
79,5.70,2.60,3.50,1.00,Iris-versicolor
82,5.80,2.70,3.90,1.20,Iris-versicolor
83,6.00,2.70,5.10,1.60,Iris-versicolor
84,5.40,3.00,4.50,1.50,Iris-versicolor
85,6.00,3.40,4.50,1.60,Iris-versicolor
86,6.70,3.10,4.70,1.50,Iris-versicolor
87,6.30,2.30,4.40,1.30,Iris-versicolor
88,5.60,3.00,4.10,1.30,Iris-versicolor
89,5.50,2.50,4.00,1.30,Iris-versicolor
90,5.50,2.60,4.40,1.20,Iris-versicolor
91,6.10,3.00,4.60,1.40,Iris-versicolor
92,5.80,2.60,4.00,1.20,Iris-versicolor
93,5.00,2.30,3.30,1.00,Iris-versicolor
94,5.60,2.70,4.20,1.30,Iris-versicolor
95,5.70,3.00,4.20,1.20,Iris-versicolor
96,5.70,2.90,4.20,1.30,Iris-versicolor
97,6.20,2.90,4.30,1.30,Iris-versicolor
98,5.10,2.50,3.00,1.10,Iris-versicolor
99,5.70,2.80,4.10,1.30,Iris-versicolor
100,6.30,3.30,6.00,2.50,Iris-virginica
101,5.80,2.70,5.10,1.90,Iris-virginica
102,7.10,3.00,5.90,2.10,Iris-virginica
103,6.30,2.90,5.60,1.80,Iris-virginica
104,6.50,3.00,5.80,2.20,Iris-virginica
105,7.60,3.00,6.60,2.10,Iris-virginica
106,4.90,2.50,4.50,1.70,Iris-virginica
107,7.30,2.90,6.30,1.80,Iris-virginica
108,6.70,2.50,5.80,1.80,Iris-virginica
110,6.50,3.20,5.10,2.00,Iris-virginica
111,6.40,2.70,5.30,1.90,Iris-virginica
112,6.80,3.00,5.50,2.10,Iris-virginica
113,5.70,2.50,5.00,2.00,Iris-virginica
114,5.80,2.80,5.10,2.40,Iris-virginica
115,6.40,3.20,5.30,2.30,Iris-virginica
116,6.50,3.00,5.50,1.80,Iris-virginica
118,7.70,2.60,6.90,2.30,Iris-virginica
119,6.00,2.20,5.00,1.50,Iris-virginica
120,6.90,3.20,5.70,2.30,Iris-virginica
121,5.60,2.80,4.90,2.00,Iris-virginica
122,7.70,2.80,6.70,2.00,Iris-virginica
123,6.30,2.70,4.90,1.80,Iris-virginica
124,6.70,3.30,5.70,2.10,Iris-virginica
125,7.20,3.20,6.00,1.80,Iris-virginica
126,6.20,2.80,4.80,1.80,Iris-virginica
127,6.10,3.00,4.90,1.80,Iris-virginica
128,6.40,2.80,5.60,2.10,Iris-virginica
129,7.20,3.00,5.80,1.60,Iris-virginica
130,7.40,2.80,6.10,1.90,Iris-virginica
132,6.40,2.80,5.60,2.20,Iris-virginica
133,6.30,2.80,5.10,1.50,Iris-virginica
134,6.10,2.60,5.60,1.40,Iris-virginica
135,7.70,3.00,6.10,2.30,Iris-virginica
136,6.30,3.40,5.60,2.40,Iris-virginica
137,6.40,3.10,5.50,1.80,Iris-virginica
138,6.00,3.00,4.80,1.80,Iris-virginica
139,6.90,3.10,5.40,2.10,Iris-virginica
140,6.70,3.10,5.60,2.40,Iris-virginica
141,6.90,3.10,5.10,2.30,Iris-virginica
142,5.80,2.70,5.10,1.90,Iris-virginica
143,6.80,3.20,5.90,2.30,Iris-virginica
145,6.70,3.00,5.20,2.30,Iris-virginica
146,6.30,2.50,5.00,1.90,Iris-virginica
147,6.50,3.00,5.20,2.00,Iris-virginica
148,6.20,3.40,5.40,2.30,Iris-virginica
149,5.90,3.00,5.10,1.80,Iris-virginica
